Carrera
Ingeniería Civil en Obras Civiles
Ingeniería en Construcción
Ingeniería Civil en Minas
Geología
Ingeniería Civil Industrial
Ingeniería Civil en Computación e Informática
Arquitectura
Arquitectura del Paisaje
Ingeniería Comercial
Ingeniería en Información y Control de Gestión
Ingeniería en Agronegocios
Ingeniería en Administración de Empresas
Contador Auditor
Administración Pública
Ciencia Política
Periodismo
Publicidad
Educación Parvularia
Pedagogía en Educación General Básica
Pedagogía en Educación Diferencial
Pedagogía en Educación Física
Pedagogía en Inglés
Pedagogía en Lenguaje y Comunicación
Pedagogía en Matemática y Estadística
Sociología
Derecho
Trabajo Social
Enfermería
Tecnología Médica
Nutrición y Dietética
Psicología
Terapia Ocupacional
Kinesiología
